pl_name,hostname,sy_snum,sy_pnum,pl_controv_flag,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim
K2-403 b,K2-403,1,1,0,33.58997900,0.00076800,-0.00076800,0,5.333,0.357,-0.387,0,24.60000,,,0,0.89,0.06,-0.05,0,0.78,0.34,-0.24,0
Kepler-112 b,Kepler-112,1,2,0,8.40887800,0.00001000,-0.00001000,0,2.360,0.570,-0.570,0,6.17000,,,0,0.84,0.20,-0.20,0,0.78,0.06,-0.04,0
Kepler-112 c,Kepler-112,1,2,0,28.57426300,0.00006000,-0.00006000,0,2.400,0.580,-0.580,0,6.35000,,,0,0.84,0.20,-0.20,0,0.78,0.06,-0.04,0
Kepler-1254 b,Kepler-1254,1,3,0,9.99113313,0.00005610,-0.00005610,0,1.550,0.090,-0.120,0,3.02000,,,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0
Kepler-1254 c,Kepler-1254,1,3,0,3.60084276,0.00001900,-0.00001900,0,1.300,0.070,-0.120,0,2.24000,,,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0
Kepler-1254 d,Kepler-1254,1,3,0,5.72717226,0.00002908,-0.00002908,0,1.310,0.090,-0.110,0,2.27000,,,0,0.75,0.03,-0.05,0,0.78,0.04,-0.05,0
Kepler-167 b,Kepler-167,2,4,0,4.39315390,0.00000480,-0.00000460,0,1.718,0.070,-0.070,0,3.60000,,,0,0.75,0.02,-0.02,0,0.78,0.03,-0.03,0
Kepler-167 c,Kepler-167,2,4,0,7.40610600,0.00001000,-0.00001000,0,1.674,0.069,-0.069,0,3.44000,,,0,0.75,0.02,-0.02,0,0.78,0.03,-0.03,0
Kepler-167 d,Kepler-167,2,4,0,21.80379000,0.00013000,-0.00018000,0,1.238,0.064,-0.064,0,2.06000,,,0,0.75,0.02,-0.02,0,0.78,0.03,-0.03,0
Kepler-167 e,Kepler-167,2,4,0,1071.23205000,0.00059000,-0.00058000,0,10.160,0.420,-0.420,0,321.00669,50.85255,-47.67426,0,0.75,0.02,-0.02,0,0.78,0.03,-0.03,0
Kepler-1756 b,Kepler-1756,1,1,0,2.35575008,,,0,1.472,,,0,2.77000,,,0,0.81,0.03,-0.06,0,0.78,0.05,-0.03,0
